,kls=results&ty=por&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=por&q=0.44&ds=10&daa=20&scale=1,kls=results&ty=trad&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=trad&q=0.44&ds=10&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=10&daa=0&scale=1,kls=analytical&ty=trad&q=0.44&ds=10&daa=0&scale=1
20.0,,,,,5.382286455679619e-05,0.016075147813363833
20.1,,,,,5.1553442687479745e-05,0.015812145939886557
20.2,,,,,4.938021720779506e-05,0.01555357610594088
20.3,,,,,4.729908484757406e-05,0.015299360485594882
20.4,,,,,4.530611868580614e-05,0.015049422700515347
20.5,,,,,4.339756050264487e-05,0.014803687790817976
20.6,,,,,4.156981346592481e-05,0.014562082186568959
20.7,,,,,3.9819435138754855e-05,0.014324533679922924
20.8,,,,,3.814313079297804e-05,0.014090971397879293
20.9,,,,,3.6537747015730204e-05,0.013861325775642253
21.0,0.0016666666666666668,0.02288888888888889,0.0,0.0016666666666666668,3.500026559533076e-05,0.013635528530569374
21.1,,,,,3.352779767495928e-05,0.013413512636693992
21.2,,,,,3.2117578161461324e-05,0.01319521229980658
21.3,,,,,3.076696037840332e-05,0.012980562933081696
21.4,,,,,2.9473410952385315e-05,0.012769501133237271
21.5,,,,,2.8234504922619585e-05,0.012561964657212377
21.6,,,,,2.7047921063783065e-05,0.012357892399351034
21.7,,,,,2.5911437412373672e-05,0.012157224369079955
21.8,,,,,2.4822926987799754e-05,0.011959901669068462
21.9,,,,,2.37803537005421e-05,0.011765866473857134
22.0,,,,,2.2781768436841432e-05,0.011575062008946424
22.1,,,,,2.18253053152484e-05,0.011387432530331698
22.2,,,,,2.090917810437798e-05,0.011202923304476364
22.3,,,,,2.0031676797538367e-05,0.011021480588709776
22.4,,,,,1.9191164335130573e-05,0.010843051612042798
22.5,,,,,1.8386073469267572e-05,0.010667584556388388
22.6,,,,,1.761490376517294e-05,0.010495028538180073
22.7,,,,,1.6876218731920467e-05,0.01032533359037624
22.8,,,,,1.6168643077074663e-05,0.010158450644844108
22.9,,,,,1.549086008145739e-05,0.009994331515111643
23.0,,,,,1.4841609086158059e-05,0.009832928879481062
23.1,,,,,1.4219683089233826e-05,0.009674196264494173
23.2,,,,,1.3623926445882617e-05,0.009518088028741767
23.3,,,,,1.3053232668314152e-05,0.009364559347009083
23.4,,,,,1.2506542319989933e-05,0.009213566194749778
23.5,,,,,1.1982841001678679e-05,0.00906506533288065
23.6,,,,,1.1481157423998134e-05,0.008919014292889327
23.7,,,,,1.1000561562668487e-05,0.00877537136224893
23.8,,,,,1.0540162894590033e-05,0.008634095570131395
23.9,,,,,1.009910870830577e-05,0.008495146673413334
24.0,,,,,9.676582488737928e-06,0.00835848514296833
24.1,,,,,9.27180237031422e-06,0.008224072150237682
24.2,,,,,8.884019657706688e-06,0.008091869554074482
24.3,,,,,8.512517409520193e-06,0.007961839887855593
24.4,,,,,8.156609082710098e-06,0.00783394634685286
24.5,,,,,7.815637236618933e-06,0.007708152775861121
24.6,,,,,7.488972290747853e-06,0.007584423657074457
24.7,,,,,7.1760113377061785e-06,0.00746272409820703
24.8,,,,,6.876177006120976e-06,0.007343019820852059
24.9,,,,,6.588916372285425e-06,0.007225277149074394
25.0,,,,,6.313699919213711e-06,0.007109462998230898
25.1,,,,,6.0500205398827944e-06,0.006995544864013548
25.2,,,,,5.797392583106742e-06,0.006883490811712023
25.3,,,,,5.555350940711357e-06,0.006773269465688125
25.4,,,,,5.3234501734555906e-06,0.006664849999060141
25.5,,,,,5.101263674589518e-06,0.006558202123590706
25.6,,,,,4.888382869050467e-06,0.006453296079775295
25.7,,,,,4.684416447298112e-06,0.006350102627125098
25.8,,,,,4.48898963134603e-06,0.0062485930346424245
25.9,,,,,4.301743472767683e-06,0.006148739071482057
26.0,,,,,4.122334180456377e-06,0.0060505129977967975
26.1,,,,,3.950432477028976e-06,0.005953887555761539
26.2,,,,,3.78572298276314e-06,0.005858835960772857
26.3,,,,,3.627903626179929e-06,0.005765331892820802
26.4,,,,,3.4766850790513004e-06,0.005673349488027779
26.5,,,,,3.331790216720698e-06,0.005582863330352739
26.6,,,,,3.1929535999619674e-06,0.0054938484434557955
26.7,,,,,3.0599209801529526e-06,0.00540628028272061
26.8,,,,,2.9324488248771985e-06,0.005320134727431203
26.9,,,,,2.810303864064778e-06,0.005235388073099312
27.0,,,,,2.693262655562023e-06,0.005152017023940081
27.1,,,,,2.581111168686867e-06,0.005069998685492627
27.2,,,,,2.4736443859918467e-06,0.004989310557381499
27.3,,,,,2.3706659217914705e-06,0.004909930526217909
27.4,,,,,2.271987657342933e-06,0.004831836858636196
27.5,,,,,2.1774293903487063e-06,0.00475500819446395
27.6,,,,,2.0868185012234974e-06,0.004679423540021932
27.7,,,,,1.999989631906729e-06,0.004605062261552217
27.8,,,,,1.916784378885872e-06,0.004531904078770466
27.9,,,,,1.8370509997645001e-06,0.004459929058541867
28.0,,,,,1.7606441314876875e-06,0.0043891176086762185
28.1,,,,,1.6874245211129235e-06,0.004319450471840347
28.2,,,,,1.617258767794283e-06,0.004250908719586444
28.3,,,,,1.5500190757578025e-06,0.0041834737464924165
28.4,,,,,1.4855830174909102e-06,0.004117127264412712
28.5,,,,,1.4238333074789722e-06,0.004051851296838271
28.6,,,,,1.3646575854897591e-06,0.003987628173361291
28.7,,,,,1.307948208184584e-06,0.003924440524244233
28.8,,,,,1.2536020510545143e-06,0.0038622712750915333
28.9,,,,,1.2015203170179234e-06,0.003801103641619674
29.0,,,,,1.1516083548990252e-06,0.0037409211245257312
29.1,,,,,1.1037754842346814e-06,0.0036817075044517367
29.2,,,,,1.0579348279637912e-06,0.003623446837042965
29.3,,,,,1.0140031523331317e-06,0.003566123448097147
29.4,,,,,9.719007137976021e-07,0.00350972192880572
29.5,,,,,9.315511114715846e-07,0.0034542271310814554
29.6,,,,,8.928811467967535e-07,0.0033996241629743462
29.7,,,,,8.558206888720221e-07,0.0033458983841712087
29.8,,,,,8.203025448905166e-07,0.003293035401578659
29.9,,,,,7.862623370158417e-07,0.0032410210649885807
30.0,0.0012222222222222222,0.009666666666666667,0.0,0.00022222222222222223,7.536383840323069e-07,0.003189841462822196
30.1,,,,,7.223715874360437e-07,0.0031394829179535177
30.2,,,,,6.924053234103056e-07,0.0030899319836090733
30.3,,,,,6.636853384645036e-07,0.0030411754393432355
30.4,,,,,6.361596499582234e-07,0.00299320028708705
30.5,,,,,6.097784505110226e-07,0.0029459937472702258
30.6,,,,,5.844940170751656e-07,0.0028995432550130706
30.7,,,,,5.602606227839146e-07,0.002853836456388814
30.8,,,,,5.370344535737814e-07,0.0028088612047537653
30.9,,,,,5.147735278043797e-07,0.0027646055571449724
31.0,,,,,4.934376192089474e-07,0.0027210577707424966
31.1,,,,,4.729881830645155e-07,0.002678206299396857
