$k$ (B/s),PoRs TPS2,PoRTs TPS2,HOPoRs TPS2,HOPoRTs TPS2,OP TPS2,OPT TPS2,HO TPS2,HOT TPS2
13400,39932819.31428572,56401803.563636355,55664564.8,81102198.98181817,76725255.10204081,124282231.40495868,201403794.64285713,512664204.5454545
13500,40798249.714285724,57624160.90909091,56819579.14285715,82860124.09090908,78455835.45918368,127085485.53719006,205946568.08035713,524227627.84090906
13600,41676112,58864064,57985550.628571436,84643300.02424242,80212244.8979592,129930578.5123967,210557142.8571429,535963636.3636364
13700,42566468.87619048,60121578.18181818,59162479.25714285,86451839.00606062,81994674.74489796,132817820.24793386,215236021.20535713,547873508.5227271
13800,43469408.571428575,61396927.636363626,60350365.028571434,88285958.32727271,83803316.3265306,135747520.661157,219983705.35714287,559958522.7272726
13900,44385019.31428571,62690128.84848485,61549207.942857146,90145829.2181818,85638360.96938775,138719989.66942146,224800697.54464287,572219957.3863636
14000,45313389.333333336,64001391.999999985,62759008,92031609.09090911,87500000,141735537.19008264,229687500.00000003,584659090.9090909
14100,46254606.85714286,65330787.890909076,63979765.2,93943529.92727272,89388424.74489796,144794473.14049584,234644614.95535713,597277201.7045454
14200,47208760.114285715,66678454.61818183,65211479.54285715,95881703.86666666,91303826.53061225,147897107.4380165,239672544.64285716,610075568.1818181
14300,48175937.33333334,68044544.53333332,66454151.028571434,97846376.33333333,93246396.68367347,151043750,244771791.2946429,623055468.75
14400,49156251.42857143,69429113.01818182,67707779.65714285,99837676.8,95216326.53061225,154234710.74380162,249942857.14285713,636218181.8181818
14500,50149771.809523806,70832396.3030303,68972365.42857143,101855803.63636363,97213807.3979592,157470299.58677682,255186244.4196429,649564985.7954546
14600,51156581.25714287,72254401.8909091,70247908.34285715,103900948.66666664,99239030.61224489,160750826.44628102,260502455.35714287,663097159.090909
14700,52176768,73695340.72727272,71534408.4,105973247.03636363,101292187.5,164076601.23966944,265891992.1875,676815980.1136364
14800,53210420.26666667,75155288,72831865.6,108070339.99999999,103373469.38775511,167447933.88429752,271355357.14285713,690722727.2727271
14900,54257626.285714276,76634375.33333334,74140279.94285715,110186244.99999999,105483067.60204083,170865134.29752067,276893052.4553572,704818678.9772726
15000,55318474.28571428,78132763.63636361,77413922.14285715,112320749.99999999,107621173.46938775,174328512.3966942,282505580.35714287,719105113.6363636
15100,56393052.495238096,79650497.64848484,78917930.3,114473854.99999999,109787978.31632656,177838378.09917352,288193443.0803572,733583309.6590909
15200,57481466.51428572,81187826.32727271,80441277.14285715,116645560.00000001,111983673.46938778,181395041.32231405,293957142.85714287,748254545.4545454
15300,58583802,82744747.85454544,81984110.14285715,118835865.00000001,114208450.25510204,184998811.98347107,299797181.91964287,763120099.4318181
15400,59700132.8,84321473.6,83546548.8,121044770.00000001,116462500.00000001,188650000,305714062.5,778181249.9999999
